Original,Beam (6),Greedy,Beam err,Greedy err
"Sea. 'Dúin do bhéal!' níl sé deacair. Bhuel, tá sé deacair le haghaidh daoiní áirthid, ach níl sé chomh deacair is a bhéas rudaí.","Sea, 'dúin do bhéal, níl sé deacair, bhuel, tá sé deacair le haghaidh daoiní áirthid ach níl sé chomh deacair is a bhéas rudaí.","Sea, 'dúin do bhéal, níl sé deacair, bhuel, tá sé deacair le haghaidh daoiní áirthid ach níl sé chomh deacair is a bhéas rudaí.","substitution: .->,; substitution: Dúin->dúin; substitution: !->,; deletion: '; substitution: .->,; substitution: Bhuel->bhuel; deletion: ,","substitution: .->,; substitution: Dúin->dúin; substitution: !->,; deletion: '; substitution: .->,; substitution: Bhuel->bhuel; deletion: ,"
"ndearna siad go maith? Bhuel, tá bealaí eile ann, nótaí agus rudaí. Ach tá sé i bhfad níos éasca againne.",ndearna siad go maith bhuel tá bealaí eile ann nótaí agus rudaí ach tá sé i bhfad níos éasca againne.,ndearna siad go maith bhuel tá bealaí eile ann nótaí agus rudaí ach tá sé i bhfad níos éasca againne.,"substitution: ?->bhuel; deletion: Bhuel; deletion: ,; deletion: ,; substitution: .->ach; deletion: Ach","substitution: ?->bhuel; deletion: Bhuel; deletion: ,; deletion: ,; substitution: .->ach; deletion: Ach"
"meascthaí suas. Díreach go leor acu. Ansin ar, tá siad uilig, díreach, curtha ansin, an chaoi a",meascthaí suas díreach go leor acu ansin ar tá siad uilig díreach curtha ansin an chaoi a,meascthaí suas díreach go leor acu ansin ar tá siad uilig díreach curtha ansin an chaoi a,"substitution: .->díreach; deletion: Díreach; substitution: .->ansin; deletion: Ansin; deletion: ,; deletion: ,; deletion: ,; deletion: ,","substitution: .->díreach; deletion: Díreach; substitution: .->ansin; deletion: Ansin; deletion: ,; deletion: ,; deletion: ,; deletion: ,"
"agus rudaí mar sin. Ach ansin nuair atá tú ann, tá tú in ann breathnú thart agus tá chuile dhuine ansin",Agus rudaí mar sin ach ansin nuair atá tú ann tá tú in ann breathnú thart agus tá chuile dhuine ansin.,Agus rudaí mar sin ach ansin nuair atá tú ann tá tú in ann breathnú thart agus tá chuile dhuine ansin.,"substitution: agus->Agus; substitution: .->ach; deletion: Ach; deletion: ,; insertion: .","substitution: agus->Agus; substitution: .->ach; deletion: Ach; deletion: ,; insertion: ."
"agus tá siad fíormhaith, fíorghreannmhar. Ar nós, tá mé in ann éisteacht leis na hamhráin aríst agus aríst eile agus níl siad leadránach.",Agus tá siad fíormhaith fíorghreannmhar ar nós tá mé in ann éisteacht leis na hamhráin aríst agus aríst eile agus níl siad leadránach.,"Agus tá siad fíormhaith, fíorghreannmhar ar nós tá mé in ann éisteacht leis na hamhráin aríst agus aríst eile agus níl siad leadránach.","substitution: agus->Agus; deletion: ,; substitution: .->ar; deletion: Ar; deletion: ,","substitution: agus->Agus; substitution: .->ar; deletion: Ar; deletion: ,"
"cineál, bheag a dhéanamh iad fhéin. Mar gheall, sea, mar, sna Sé Chondae, tá i bhfad níos mó, tá siad i bhfad, tá siad ag iarraidh Gaeilge a labhairt",cineál bheag a dhéanamh iad fhéin mar gheall sea mar sna Sé Chondae tá i bhfad níos mó tá siad i bhfad tá siad ag iarraidh Gaeilge a labhairt,cineál bheag a dhéanamh iad fhéin mar gheall sea mar sna Sé Chondae tá i bhfad níos mó tá siad i bhfad tá siad ag iarraidh Gaeilge a labhairt,"deletion: ,; substitution: .->mar; deletion: Mar; deletion: ,; deletion: ,; deletion: ,; deletion: ,; deletion: ,; deletion: ,","deletion: ,; substitution: .->mar; deletion: Mar; deletion: ,; deletion: ,; deletion: ,; deletion: ,; deletion: ,; deletion: ,"
"níl sé faiseanta. Ach tá sé níos faiseanta ansin. Mar tá siad ag rá 'Ó! tá mise ag dul in aghaidh an,'","Níl sé faiseanta ach tá sé níos faiseanta ansin mar tá siad ag rá, 'Ó, tá mise ag dul in aghaidh an'.","Níl sé faiseanta ach tá sé níos faiseanta ansin mar tá siad ag rá, 'Ó, tá mise ag dul in aghaidh an'.","substitution: níl->Níl; substitution: .->ach; deletion: Ach; substitution: .->mar; deletion: Mar; insertion: ,; substitution: !->,; deletion: ,; insertion: .","substitution: níl->Níl; substitution: .->ach; deletion: Ach; substitution: .->mar; deletion: Mar; insertion: ,; substitution: !->,; deletion: ,; insertion: ."
"Ó! sea, sea. A! ní fhaca tú, ní fhaca tusa Bhuel chonaic tú Colm Mháirtín.","Ó sea sea. A, ní fhaca tú, ní fhaca tusa, bhuel chonaic tú Colm Mháirtín.","Ó sea sea. A, ní fhaca tú, ní fhaca tusa, bhuel chonaic tú Colm Mháirtín.","deletion: !; deletion: ,; substitution: !->,; substitution: Bhuel->,; insertion: bhuel","deletion: !; deletion: ,; substitution: !->,; substitution: Bhuel->,; insertion: bhuel"
"Ach níl fhios agam beirthe ná beo ná baiste anois, cén fáth go dtáinig siad sin isteach i mo chloigeann, thréis na mblianta frae chéile.",Ach níl fhios agam beirthe ná beo ná baiste anois cén fáth go dtáinig siad sin isteach i mo chloigeann thréis na mblianta frae chéile.,Ach níl fhios agam beirthe ná beo ná baiste anois cén fáth go dtáinig siad sin isteach i mo chloigeann thréis na mblianta frae chéile.,"deletion: ,; deletion: ,","deletion: ,; deletion: ,"
"""Anois,"" arsa Aindí, ""níl ann ach rud beag craice. Níl mórán airgid ag Bríd. Tá sí ag déanamh a díchill.""","Anois, arsa Aindí, níl ann ach rud beag craice, níl mórán airgid ag Bríd, tá sí ag déanamh a díchill.","Anois, arsa Aindí, níl ann ach rud beag craice, níl mórán airgid ag Bríd, tá sí ag déanamh a díchill.","deletion: ""; deletion: ""; deletion: ""; substitution: .->,; substitution: Níl->níl; substitution: .->,; substitution: Tá->tá; deletion: ""","deletion: ""; deletion: ""; deletion: ""; substitution: .->,; substitution: Níl->níl; substitution: .->,; substitution: Tá->tá; deletion: """
"Bhuel ansin, seobh é an cochall, tháining ceo anuas ó na flaithis. Agus e‑, chuaigh an talamh frae chéile, agus d'éalaigh siadsan.",Bhuel ansin seobh é an cochall tháining ceo anuas ó na flaithis agus e chuaigh an talamh frae chéile agus d'éalaigh siadsan.,Bhuel ansin seobh é an cochall tháining ceo anuas ó na flaithis agus e chuaigh an talamh frae chéile agus d'éalaigh siadsan.,"deletion: ,; deletion: ,; substitution: .->agus; deletion: Agus; deletion: ‑; deletion: ,; deletion: ,","deletion: ,; deletion: ,; substitution: .->agus; deletion: Agus; deletion: ‑; deletion: ,; deletion: ,"
"Ba scéal fíor a bhí ann. Bhí mo, bhí, sprid mo dhuine ag, bhí an díoltas beartaithe aige dhó. Agus e‑, babh in é é.","Ba scéal fíor a bhí ann, bhí mo bhí sprid mo dhuine ag bhí an díoltas beartaithe aige dhó agus e babh in é é.","Ba scéal fíor a bhí ann, bhí mo bhí sprid mo dhuine ag bhí an díoltas beartaithe aige dhó agus e babh in é é.","deletion: .; deletion: Bhí; deletion: mo; substitution: ,->mo; insertion: bhí; deletion: ,; substitution: .->agus; deletion: Agus; deletion: ‑; deletion: ,","deletion: .; deletion: Bhí; deletion: mo; substitution: ,->mo; insertion: bhí; deletion: ,; substitution: .->agus; deletion: Agus; deletion: ‑; deletion: ,"
"Bhuel ar ndóigh, e‑ le mo linn féin, ghabhfá isteach i mbosca an fhaoistean. Ach, ghabhfá ar do dhá ghlúin. Chuirfí breithiúnas aithrí ort.","Bhuel, ar ndóigh, e le mo linn féin ghabhfá isteach i mbosca an fhaoistean ach ghabhfá ar do dhá ghlúin, chuirfí breithiúnas aithrí ort.","Bhuel, ar ndóigh, e le mo linn féin ghabhfá isteach i mbosca an fhaoistean ach ghabhfá ar do dhá ghlúin, chuirfí breithiúnas aithrí ort.","insertion: ,; deletion: ‑; deletion: ,; substitution: .->ach; deletion: Ach; deletion: ,; substitution: .->,; substitution: Chuirfí->chuirfí","insertion: ,; deletion: ‑; deletion: ,; substitution: .->ach; deletion: Ach; deletion: ,; substitution: .->,; substitution: Chuirfí->chuirfí"
"Ach e‑, ní e‑, bhuel, níor dhúirt Mac Dé ar chuma ar bith, a leithéide sin dhe bhreithiúnas aithrí a chuir ar aon nduine.",Ach e ní e bhuel níor dhúirt Mac Dé ar chuma ar bith a leithéide sin dhe bhreithiúnas aithrí a chuir ar aon nduine.,Ach e ní e bhuel níor dhúirt Mac Dé ar chuma ar bith a leithéide sin dhe bhreithiúnas aithrí a chuir ar aon nduine.,"deletion: ‑; deletion: ,; deletion: ‑; deletion: ,; deletion: ,; deletion: ,","deletion: ‑; deletion: ,; deletion: ‑; deletion: ,; deletion: ,; deletion: ,"
Ó! 'uise b'fhéidir go Dar Dia b'aisteach an áit a ndeachaigh sé siúd ar chuma ar bith.,"Ó 'uise, b'fhéidir go dar Dia, b'aisteach an áit a ndeachaigh sé siúd ar chuma ar bith.","Ó 'uise, b'fhéidir go dar Dia, b'aisteach an áit a ndeachaigh sé siúd ar chuma ar bith.","deletion: !; insertion: ,; substitution: Dar->dar; insertion: ,","deletion: !; insertion: ,; substitution: Dar->dar; insertion: ,"
"‑M'anam muise go bhfuil, tá, a deir sé. Á! muise go, nach móide go bhfuil, a déarfadh mo dhuine, m'anam nach móide go bhfuil.",M'anam muise go bhfuil tá a deir sé á muise go nach móide go bhfuil a déarfadh mo dhuine m'anam nach móide go bhfuil,M'anam muise go bhfuil tá a deir sé á muise go nach móide go bhfuil a déarfadh mo dhuine m'anam nach móide go bhfuil,"deletion: ‑; deletion: ,; deletion: ,; substitution: .->á; deletion: Á; deletion: !; deletion: ,; deletion: ,; deletion: ,; deletion: .","deletion: ‑; deletion: ,; deletion: ,; substitution: .->á; deletion: Á; deletion: !; deletion: ,; deletion: ,; deletion: ,; deletion: ."
"Caismirt an Phótaire leis an Uisce Beatha, Amhráin Mhuighe Seola, lch 110: Eibhlín Bean Mhic Choisdealbha 1918",Caismirt an Phótaire leis an Uisce Beatha Amhráin Mhuighe Seola lch 110: Eibhlín Bean Mhic Choisdealbha 1918,"Caismirt an Phótaire leis an Uisce Beatha Amhráin Mhuighe Seola lch 110: Eibhlín Bean Mhic Choisdealbha, 1918.","deletion: ,; deletion: ,","deletion: ,; deletion: ,; insertion: ,; insertion: ."
"B'fhéidir go, thabharfaidís leob é ag nó áit éigin é nó e‑ d'íocfaidís an dhó b'fhéidir nó",B'fhéidir go thabharfaidís leob é ag nó áit éigin é nó e d'íocfaidís an dhó b'fhéidir nó,B'fhéidir go thabharfaidís leob é ag nó áit éigin é nó e d'íocfaidís an dhó b'fhéidir nó,"deletion: ,; deletion: ‑","deletion: ,; deletion: ‑"
M'anam nach bhfuil fhios agam anois ach bhí sé ráite ar chuma ar bith. M'anam go raibh sé ráite.,M'anam nach bhfuil fhios agam anois ach bhí sé ráite ar chuma ar bith m'anam go raibh sé ráite.,M'anam nach bhfuil fhios agam anois ach bhí sé ráite ar chuma ar bith m'anam go raibh sé ráite.,substitution: .->m; deletion: M,substitution: .->m; deletion: M
"N. Ach bhí na mallachtaí ann freisin. Ar ndóigh, is dóichí go bhfuil sé cloistí ag chuile dhuine faoi, faoi, mar a, chuir an sagart mallacht ar na Blácaigh.","n Ach bhí na mallachtaí ann freisin, ar ndóigh, is dóichí go bhfuil sé cloistí ag chuile dhuine faoi faoi mar a chuir an sagart mallacht ar na Blácaigh.","n Ach bhí na mallachtaí ann freisin, ar ndóigh, is dóichí go bhfuil sé cloistí ag chuile dhuine faoi faoi mar a chuir an sagart mallacht ar na Blácaigh.","substitution: N->n; deletion: .; substitution: .->,; substitution: Ar->ar; deletion: ,; deletion: ,; deletion: ,","substitution: N->n; deletion: .; substitution: .->,; substitution: Ar->ar; deletion: ,; deletion: ,; deletion: ,"
"‑Tá go maith, a deir fear an ósta, ach gheofaidh tú do dheoch agus bíodh, tabharfaidh tú anuas do bhanbh agamsa anseo ar maidin.","Tá go maith, a deir fear an ósta, ach gheofaidh tú do dheoch agus bíodh tabharfaidh tú anuas do bhanbh agamsa anseo ar maidin.","Tá go maith, a deir fear an ósta, ach gheofaidh tú do dheoch agus bíodh tabharfaidh tú anuas do bhanbh agamsa anseo ar maidin.","deletion: ‑; deletion: ,","deletion: ‑; deletion: ,"
"Á! a dheabhail, ní hé. Faoin, bhíodar ag caint faoi Bé‑, ag caint ar an mBéarla. Ní raibh aon Bhéarla","Á, a dheabhail, ní hé faoin bhíodar ag caint faoi bé ag caint ar an mBéarla, ní raibh aon Bhéarla.","Á, a dheabhail, ní hé faoin bhíodar ag caint faoi bé ag caint ar an mBéarla, ní raibh aon Bhéarla.","substitution: !->,; substitution: .->faoin; deletion: Faoin; deletion: ,; substitution: Bé->bé; deletion: ‑; deletion: ,; substitution: .->,; substitution: Ní->ní; insertion: .","substitution: !->,; substitution: .->faoin; deletion: Faoin; deletion: ,; substitution: Bé->bé; deletion: ‑; deletion: ,; substitution: .->,; substitution: Ní->ní; insertion: ."
